id,question,expected_answer,generated_answer,answerable,relevant_pages,retrieved_pages,retrieval_hit,numerical_match,citation,cited_page,citation_matches_retrieval,abstained,status
Q01,What was Apple's total net sales in Q3 2022 and how does it compare to Q3 2021?,"$82,959 million in Q3 2022 compared with $81,434 million in Q3 2021, an increase of approximately 2%.","Apple’s total net sales for the third quarter of 2022 were $82,959 million, compared with $81,434 million in the third quarter of 2021, an increase of about $1.5 billion (approximately 2%). (Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,18,"18,21,10,19,16,17",True,1.0,"(Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",18,True,,OK
Q02,"What was Apple's net sales and operating income in Greater China for the nine months ended June 25, 2022?","Net sales were $58,730 million and operating income was $25,055 million.","Apple’s Greater China segment reported net sales of $58,730 million and operating income of $25,055 million for the nine months ended June 25, 2022. (Source: Page 16, Note 9 – Segment Information and Geographic Data)",True,16,"16,18,19,4,21",True,1.0,"(Source: Page 16, Note 9 – Segment Information and Geographic Data)",16,True,,OK
Q03,How much did Apple spend on research and development in Q3 2022?,"$6,797 million.","Apple spent $6,797 million on research and development in the third quarter of 2022. (Source: Page 16, Note 9 – Segment Information and Geographic Data)",True,"4,16,21","16,21,4,10",True,1.0,"(Source: Page 16, Note 9 – Segment Information and Geographic Data)",16,True,,OK
Q04,What is the Epic Games lawsuit about?,The lawsuit concerns allegations that Apple's operation of its App Store violates federal and state antitrust laws and California's unfair-competition law.,"Epic Games sued Apple in the U.S. District Court for the Northern District of California alleging that Apple’s operation of its App Store violates federal and state antitrust laws and California’s unfair‑competition law, and Apple filed a counterclaim for breach of contract (Source: Page 23, Item 1. Legal Proceedings)",True,23,"23,15,17",True,1.0,"(Source: Page 23, Item 1. Legal Proceedings)",23,True,,OK
Q05,"How many shares of common stock did Apple repurchase during Q3 2022, and at what average price?","Apple repurchased 142,674 thousand shares during the quarter. The table reports average prices of $168.06, $148.45, and $139.06 for the three repurchase periods; it does not report one overall average price.","Apple repurchased 142,674 thousand shares of its common stock during the three‑month quarter ended June 25 2022; the filing does not provide a single overall average price per share for that quarter (average prices are shown only for the individual sub‑periods) (Source: Page 23, Item 2. Unregistered Sales of Equity Securities and Use of Proceeds)",True,23,"23,7,6,14",True,0.143,"(Source: Page 23, Item 2. Unregistered Sales of Equity Securities and Use of Proceeds)",23,True,,OK
Q06,What was Apple's gross margin percentage for Products vs Services in Q3 2022?,"Products had a gross margin percentage of 34.5%, while Services had 71.5%.","Apple’s gross margin percentage in the third quarter of 2022 was 34.5 % for Products and 71.5 % for Services. (Source: Page 20, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,20,"20,4,21,10",True,1.0,"(Source: Page 20, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",20,True,,OK
Q07,What were Apple's Services net sales in Q3 2022 and Q3 2021?,"$19,604 million in Q3 2022 and $17,486 million in Q3 2021.","Apple’s Services net sales were $19,604 million for the quarter ended June 25 2022 and $17,486 million for the quarter ended June 26 2021. (Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,18,"18,10,19,4",True,1.0,"(Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",18,True,,OK
Q08,What were Apple's total operating expenses in Q3 2022?,"$12,809 million.","Apple’s total operating expenses for the third quarter of 2022 were $12,809 million. (Source: Page 21, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,18,"16,21,4,17,18",True,1.0,"(Source: Page 21, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",21,True,,OK
Q09,What was Apple's operating income in Q3 2022?,"$23,076 million.","Apple’s operating income for the three‑month quarter ended June 25 2022 was $23,076 million. (Source: Page 16, Note 9 – Segment Information and Geographic Data)",True,4,"16,8,21,5",False,1.0,"(Source: Page 16, Note 9 – Segment Information and Geographic Data)",16,True,,RETRIEVAL_MISS
Q10,What was Apple's net income in Q3 2022?,"$19,442 million.","Apple’s net income for the third quarter of 2022 was $19,442 million. (Source: Page 5, Item 1. Financial Statements)",True,18,"16,4,5,9,18",True,1.0,"(Source: Page 5, Item 1. Financial Statements)",5,True,,OK
